DMA_Code,Population,New_Customer_Purchases,Paid_Search_Spend,Paid_Media_Spend,Affiliate_Conversions,GA_Search_Sessions
501,20831062,4477,368615,460426,1998,180381
803,15685611,3050,255641,300918,1191,117375
524,6326962,2103,138162,181496,991,70145
623,6990047,1397,120053,163285,723,59472
504,7951112,1554,111741,160358,534,47301
602,9613534,1916,128136,215272,1071,91997
511,6373341,1181,107217,186429,648,57104
618,6269472,1163,90207,118831,385,32188
807,6867141,1001,104349,125145,471,52990
528,4317420,1091,79431,94885,391,24737
506,6312232,1015,77585,130538,436,42238
505,4808598,979,64423,106183,310,26157
539,4353490,756,62157,107325,256,26003
753,4941365,948,59599,107017,371,35653
862,4202777,717,53286,77428,215,21960
534,3684049,700,56620,98602,298,27174
819,4766332,890,52179,96803,322,37255
751,4016549,504,48321,83196,303,31372
512,2875628,556,46714,63881,203,20211
510,3854525,511,39996,78685,193,20824
517,2959243,505,44004,81781,297,26150
613,4523605,591,39412,83887,257,18734
560,2860858,511,39174,64296,175,18027
548,1925400,411,30775,36938,78,7885
527,2809481,425,31836,59577,199,13469
609,3181808,531,36132,62374,154,13135
659,2605596,438,36565,64433,195,15935
839,1999054,425,40048,49174,157,13718
825,3070529,526,38174,47758,159,15480
533,2645805,517,32955,53086,120,14810
535,2387015,312,24943,57946,149,15265
508,2826273,363,26542,49892,137,12804
641,2432432,366,28536,51751,123,8551
616,2416541,259,23684,45093,97,10351
515,2322770,318,21800,44910,110,10780
635,1861672,294,27973,41276,160,15668
866,1946262,201,18999,28943,75,7327
544,1891893,438,23793,39898,125,10091
622,1667892,467,23689,35778,109,8243
820,3141013,240,24081,50044,129,14634
770,2933346,289,25253,46365,124,10660
561,1733499,405,22561,38728,128,9703
640,1813564,599,27336,39431,102,6317
650,1795124,172,16149,33922,85,6940
617,2311937,309,23092,43289,104,11611
630,1868588,358,22996,43325,105,9185
529,1697001,287,17235,34027,67,6973
567,2164534,267,21307,44762,77,7765
532,1380997,223,17136,29448,69,7345
716,890408,219,15495,17749,34,2575
546,1040073,326,16209,26149,69,4426
521,1596082,233,17669,33189,64,6083
563,1976501,190,14268,33208,91,6971
556,1398004,280,16993,27501,78,6866
518,1741592,251,17912,34185,69,6078
804,2191564,358,8369,7191,11,1184
547,1061152,120,11899,18878,35,3420
744,1354050,240,17237,25998,86,6733
566,1958169,196,15131,28771,69,6049
577,1526021,189,16200,26209,52,5508
514,1594915,262,17158,31781,90,6570
693,1436588,232,15491,29890,81,6215
686,1342736,270,15739,29074,64,5168
571,1179757,201,12895,23927,43,4229
790,1896025,229,16688,34567,75,6516
507,876665,254,13836,21425,54,4479
636,1264291,116,7934,14691,20,1782
541,1251141,135,11529,28420,52,4968
519,782231,176,13570,19525,49,3158
564,1159965,90,8550,24612,30,2487
671,1368010,354,11635,23278,36,4969
718,909591,242,13784,18515,28,3301
538,1035389,156,11227,15372,50,4752
557,1331527,122,10328,26122,54,4612
678,1204866,107,11272,18020,49,3411
542,1274037,131,10927,22195,40,4235
652,1078517,114,9465,21094,52,4373
545,765614,139,9864,15669,41,3094
573,1145866,144,11121,20617,64,5331
789,1160176,138,10398,21692,25,2592
500,988283,120,9640,23621,33,4926
691,1005987,131,9741,19796,31,2330
828,736412,82,10206,9622,15,3014
679,1094047,111,8748,21157,42,2821
555,922553,122,10639,19040,55,4941
855,689995,88,8984,10276,23,2446
503,660910,205,10292,14689,34,2294
513,1192213,129,8572,20038,56,4199
625,971145,177,11064,18345,47,3073
752,893758,122,10053,17000,35,2594
523,841769,111,7794,15288,35,3218
648,970121,117,7593,15940,31,3179
765,1009946,119,9941,15299,25,3250
520,679744,202,9415,14892,29,2122
570,762097,174,10674,19249,33,3469
632,970889,89,8209,17312,25,2559
637,873982,70,6047,15097,22,2234
800,840750,102,7827,11435,47,3439
642,612702,155,8804,11844,38,1821
612,994854,182,9411,17692,25,2349
536,664626,113,7279,12043,26,2409
698,639206,170,9374,14475,31,1734
881,1108313,66,7492,18327,40,4701
525,422821,94,7551,10384,32,1464
588,889495,66,5887,15076,29,2724
575,929397,95,8447,19696,38,3610
522,543598,163,7402,18413,26,2063
647,200283,36,3290,3263,4,354
658,1111727,81,6444,17406,37,2554
868,509635,68,5062,8616,23,1863
530,730426,275,8033,14761,47,3615
669,959095,81,7998,17438,38,3682
550,451035,70,6727,10581,11,1570
619,1058867,69,6662,13253,21,3144
543,681728,140,5766,15845,34,3162
509,709159,71,4697,12079,36,2642
670,794376,72,6494,13536,21,1791
682,772282,73,6499,12708,23,1552
531,799130,78,5478,16253,28,2605
576,411359,82,5844,9894,20,1592
821,156256,10,2390,2262,3,488
633,408283,45,4469,7143,13,1064
724,596776,68,5692,11788,27,1977
743,421997,52,5069,8559,18,1536
692,459803,85,4915,7687,10,855
551,661156,67,5668,11431,24,2199
628,478883,118,5883,8872,25,1542
574,747572,70,5518,12573,28,2219
757,718629,75,5576,13762,19,1671
811,689265,93,7735,13581,43,3577
810,670864,66,4463,10080,26,2521
526,359645,55,4288,5380,7,1006
673,494249,89,5659,9523,19,1162
722,713886,59,4429,11972,41,2608
600,575446,57,5073,10340,24,1142
709,748298,86,6038,11622,18,1477
649,736218,72,4577,12259,25,1675
725,659677,54,4112,11127,25,1882
675,644274,75,5509,10925,28,1827
651,437706,46,3923,7295,12,917
634,536897,44,4225,8499,23,1668
746,369860,72,4759,7807,16,1261
610,485084,61,3582,7975,16,973
549,239138,29,2568,4942,13,737
657,334644,39,2410,5384,10,811
687,357649,36,3352,6975,14,1195
771,366101,34,2614,4786,13,907
540,614790,42,3182,10420,35,2722
627,412049,44,2827,9419,22,1352
502,347159,39,2985,6818,18,981
656,362537,36,3311,7497,11,790
813,427114,47,3707,8209,28,3605
801,598382,42,3842,10230,23,2294
611,363466,25,2189,11671,12,1234
559,337297,23,1939,5425,11,1211
702,559417,46,2845,8496,12,1001
554,329733,21,3018,5141,8,534
749,263708,12,1873,2891,2,235
710,296090,35,2540,5383,9,701
516,405896,55,2653,6954,15,1348
605,448265,47,3194,7574,14,1212
644,235857,41,2297,3649,5,400
764,251134,23,2258,4624,11,884
736,206697,31,2319,4257,12,327
537,347184,34,2219,6351,19,1990
624,412109,29,2327,5983,21,1275
643,266592,55,2547,4174,11,506
662,310931,45,2488,4636,8,688
565,245191,34,1859,4221,9,727
604,460218,54,3271,8362,11,1117
661,143005,11,1099,2410,4,171
603,407122,26,2329,5703,11,757
581,376568,34,2593,6219,13,1147
553,219364,19,1354,3374,18,1095
598,275017,23,1554,4879,19,747
606,250704,34,2183,5380,14,695
756,273491,26,1994,4374,13,959
711,187382,44,1947,2835,5,381
639,247610,51,2370,4511,10,996
802,162548,15,1790,2561,5,649
592,323337,64,3226,7806,24,2187
705,438857,33,2633,7506,8,1682
717,265206,12,1700,4135,11,695
569,247064,25,1961,4321,12,734
754,168378,19,1571,3881,7,416
758,368562,23,2085,5134,6,791
584,233830,31,1533,3646,9,637
734,210980,17,1868,4157,6,595
676,424092,22,2089,6802,20,1402
759,141914,19,1095,2296,4,297
582,188195,20,1481,4364,15,970
745,86664,8,1015,1316,2,130
762,287687,19,1367,4880,6,803
597,157814,12,825,2459,5,571
755,168211,16,1018,3115,2,562
773,187790,13,1196,3943,3,573
558,194660,10,792,2656,12,659
767,142470,14,1060,2517,6,592
626,87091,14,574,1196,1,122
638,120839,15,759,1973,0,140
760,184840,16,849,2601,6,424
737,123306,5,631,2095,6,344
596,91793,8,405,1359,4,215
552,71495,5,390,1391,3,298
631,130449,8,601,2094,6,465
766,68539,6,384,1019,2,256
583,40357,4,269,671,2,87
740,38175,3,184,739,0,48
747,31275,5,272,1061,4,119
798,10132,0,13,116,0,50